year,author,method,reportScore,methodsScore
2009,Douglas I,SCCS,0,0
2009,Evans SJ,SCCS,50,50
2009,Glanz JM,SCCS,0,100
2009,Grosso A,SCCS,0,50
2009,Grosso A,SCCS,0,0
2009,Hingorani A,SCCS,0,50
2009,Hingorani A,SCCS,0,0
2009,Hubbard R,SCCS,0,0
2009,Juurlink DN,SCCS,50,100
2009,Kieke BA,SCCS,0,100
2009,Kopp A,SCCS,50,100
2009,Kwong JC,SCCS,50,100
2009,MacAllister R,SCCS,0,50
2009,MacAllister R,SCCS,0,0
2009,Miller E,SCCS,0,100
2009,Miller E,SCCS,0,100
2009,Naleway AL,SCCS,0,100
2009,Pocock S,SCCS,50,50
2009,Smeeth L,SCCS,50,50
2009,Smeeth L,SCCS,0,50
2009,Smeeth L,SCCS,0,0
2009,Stowe J,SCCS,0,100
2009,Stowe J,SCCS,0,100
2009,Stukel TA,SCCS,50,100
2009,Taylor B,SCCS,0,100
2009,Thoma J,SCCS,50,100
2009,Wise L,SCCS,0,100
2009,Zinman L,SCCS,50,100
2010,Abenhaim L,CCO,0,100
2010,Abildstrom SZ,CCO,0,50
2010,Amorim EL,CCO,100,100
2010,Andersen SS,CCO,0,100
2010,Autret-Leca E,CCO,0,100
2010,Avorn J,CCO,0,100
2010,Bilker WB,CCO,100,100
2010,Brensinger CM,CCO,100,100
2010,Cardoso FL,CCO,100,100
2010,Chang Chia-Hsuin,CCO,100,100
2010,Chen Pau-Chung,CCO,100,100
2010,Chen Shu-Ting,CCO,100,100
2010,Cleinman IB,CCO,100,100
2010,Contrand B,CCO,100,100
2010,David B,CCO,100,100
2010,Delorme B,CCO,100,100
2010,Egawa T,CCO,100,100
2010,Erdal J,CCO,100,50
2010,Ferraiuoli GI,CCO,100,100
2010,Figueiredo AM,CCO,100,100
2010,Folke F,CCO,100,100
2010,Fosbol EL,CCO,100,100
2010,Fosbol EL,CCO,100,50
2010,Freitas A,CCO,100,100
2010,Gadegbeku B,CCO,100,100
2010,Gagne JJ,CCO,100,100
2010,Giraudeau B,CCO,100,100
2010,Gislason GH,CCO,100,100
2010,Gislason GH,CCO,100,50
2010,Grimaldi-Bensouda L,CCO,100,100
2010,Hansen PR,CCO,100,50
2010,Hennessy S,CCO,100,100
2010,Hirakawa M,CCO,100,100
2010,Imakyure O,CCO,100,100
2010,Jacobsen SJ,CCO,100,100
2010,Jiang Y,CCO,100,100
2010,Jonville-Bera AP,CCO,100,100
