Method,Year,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,Author21,Author22,Author23,Author24,Author25,Author26,Author27,Author28,Author29,Author30,Author31,Author32,Author33,Author34,Author35
CCO,2011,Berard A,Azoulay L,Nakhai-Pour HR,Moussally K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Berry SD,Zhang Yuqing,Lipsitz LA,Mittleman MA,Solomon DH,Kiel DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Chang Chia-Hsuin,Chen Hsi-Chieh,Lin Jou-Wei,Kuo Chuei-Wen,Shau Wen-Yi,Lai Mei-Shu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Chang Chia-Hsuin,Lin Jou-Wei,Chen Hsi-Chieh,Kuo Chuei-Wen,Shau Wen-Yi,Lai Mei-Shu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Choi Nam-Kyong,Chang Yoosoo,Jung Sun-Young,Choi Yu-Kyong,Lee Joongyub,Lee Jin-Ho,Kim Ju-Young,Park Byung-Joo,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Garrison MM,Lozano P,Christakis DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Jung Sun-Young,Choi Nam-Kyong,Kim Ju-Young,Chang Yoosoo,Song HJ,Lee Joongyub,Park Byung-Joo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Kilpatrick RD,Danese MD,Belozeroff V,Smirnakis K,Goodman WG,Rothman KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Lee Chang-Hsing,Wang Jung-Der,Chen Pau-Chung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Meuleners LB,Duke J,Lee AH,Palamara P,Hildebrand J,Ng JQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Orriols L,Philip P,Moore N,Castot A,Gadegbeku B,Delorme B,Mallaret M,Lagarde E,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Risselada R,Straatman H,van Kooten F,Dippel DWJ,van der Lugt A,Niessen WJ,Firouzian A,Herings RMC,Sturkenboom MCM,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Toh S,Mitchell A,Anderka M,de Jong-van den Berg LTW,Hernandez-Diaz S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Wright AJ,Gomes T,Mamdani M,Horn JR,Juurlink DN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Wu Chi-Shin,Wang Sheng-Chang,Cheng Yu-Cheng,Gau Susan Shur-Fen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2011,Yang Yao-Hsu,Lai Jung-Nien,Lee Chang-Hsing,Wang Jung-Der,Chen Pau-Chung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Berry SD,Mittleman MA,Zhang Yuqing,Solomon DH,Lipsitz LA,Mostofsky E,Goldense D,Kiel DP,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Kang Dong-Yoon,Park Soyoung,Rhee Chui-Woo,Kim Ye-Jee,Choi Nam-Kyong,Lee Joongyub,Park Byung-Joo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Koopmans PC,Bos JH,de Jong-van den Berg LTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Lee Yen-Chieh,Chang Chia-Hsuin,Lin Jou-Wei,Chen Hsi-Chieh,Lin Min-Shung,Lai Mei-Shu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Liu Chia-Lin,Shau Wen-Yi,Wu Chi-Shin,Lai Mei-Shu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Orriols L,Queinec R,Philip P,Gadegbeku B,Delorme B,Moore N,Suissa S,Lagarde E,Avalos M,Bazin F,Blazejewski S,Contrand B,Durrieu G,Girodet PO,Goldberg M,Laumon B,Lauque D,Lecoules N,Memes L,Merle L,Montastruc JL,Noize P,Orsoni N,Pariente A,Ribereau-Gayon R,Salmi LR,Thiessard F,Tricotel A,,,,,,,
CCO,2012,Rogers MAM,Levine DA,Blumberg N,Flanders SA,Chopra V,Langa KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2012,Seitz DP,Campbell RJ,Bell CM,Gill SS,Gruneir A,Herrmann N,Newman AM,Anderson G,Rochon PA,,,,,,,,,,,,,,,,,,,,,,,,,,
